ID,sentence1,sentence2,category,studied_quantity,result_comparison,equation_sentence1,equation_sentence2,task,natural_language_coefficient
282,"[Person_A] weighs 80 kg, his brother weighs a quarter less than him, and his father weighs one and a half times his weight.","[Person_B] weighs one and a half times his brother's weight, his brother weighs 60 kg, and his father weighs a quarter more than him.",Health & Fitness,weight,more,80 + (80×0.75) + (80×1.5),(1.5×60) + 60 + (90×1.25),comparing family weights,TRUE
283,"[PERSON_A] jogged for 45 minutes on Monday, 30 minutes on Wednesday, then rested for 15 minutes and continued for another hour on Friday.","[PERSON_B] exercised for 2 hours on Tuesday, took a 15-minute break, and then did a 15-minute cool-down routine.",Health & Fitness,time,equal,45+30-15+60,120-15+15,exercising,FALSE
284,"[PERSON_A] drove 35 miles to work, took a 10-mile detour for lunch, and drove 25 miles back home.","[PERSON_B] commuted 20 miles to the office, drove 30 miles for a client meeting, and traveled another 20 miles before heading home.",Transportation,distance,equal,35+10+25,20+30+20,traveling by car,FALSE
285,"[PERSON_A] streamed movies for 2 hours, played video games for 90 minutes, and watched TV shows for half an hour.","[PERSON_B] played video games for 1 hour, then watched a 2-hour movie, followed by a 60-minute TV episode.",Entertainment,time,equal,120+90+30,60+120+60,enjoying screen entertainment,TRUE
286,"[PERSON_A] ordered a $12 appetizer, a $24 main course, and two $7 desserts, then applied a 10% discount.","[PERSON_B] purchased a $20 meal combo, added a $14 side dish, and paid a $5 delivery fee plus a $5 tip.",Dining,money,less,(12+24+14)-5,20+14+5+5,buying food,FALSE
287,"[PERSON_A] flew 1200 miles to Chicago, then 800 miles to Denver, and finally drove 200 miles to the mountains.","[PERSON_B] traveled 1500 miles by plane to Las Vegas, drove 500 miles through national parks, and then took a 200-mile train ride.",Travel,distance,equal,1200+800+200,1500+500+200,vacationing,FALSE
288,"[PERSON_A] paid $900 for rent, $150 for electricity, and $250 for internet and streaming services, then received a $50 rental credit.","[PERSON_B] spent $800 on mortgage, $300 on utilities, $100 on internet, and $50 on home insurance.",Home & Living,money,equal,900+150+250-50,800+300+100+50,paying for housing expenses,FALSE
289,"[PERSON_A] studied for 3 hours on Monday, 4 hours on Wednesday, and 2 hours on Friday, but took a 1-hour break on Saturday.","[PERSON_B] spent 5 hours reading on Tuesday, 2 hours writing on Thursday, and 1 hour reviewing on Sunday.",Education,time,equal,3+4+2-1,5+2+1,studying,FALSE
290,"[PERSON_A] watched a 2.5-hour movie, a 1-hour TV show, and then played video games for 90 minutes.","[PERSON_B] attended a 3-hour concert, spent 30 minutes on social media, and watched online videos for 1.5 hours.",Entertainment,time,equal,2.5+1+1.5,3+0.5+1.5,enjoying entertainment activities,FALSE
291,"[PERSON_A] ordered a $15 pizza, added toppings for $3, and paid a $4 delivery fee plus a $3 tip.","[PERSON_B] bought a $12 burger meal, added sides for $8, and paid a $5 service charge.",Dining,money,equal,15+3+4+3,12+8+5,ordering food delivery,FALSE
292,"[PERSON_A] took a bus for 12 miles, walked 3 miles, and then biked another 5 miles to reach the destination.","[PERSON_B] drove 15 miles, parked, and walked another 5 miles during the day.",Transportation,distance,equal,12+3+5,15+5,traveling to destination,FALSE
293,"[PERSON_A] spent 4 days in Paris, 3 days in Rome, and 2 days in Barcelona, then extended the trip by 1 day in Madrid.","[PERSON_B] vacationed for 6 days in London, 3 days in Edinburgh, and 1 day in Dublin.",Travel,time,equal,4+3+2+1,6+3+1,vacationing,FALSE
294,"[PERSON_A] bought 3 pairs of jeans at $40 each, returned 1 pair, and purchased a belt for $25.","[PERSON_B] spent $65 on a jacket, $25 on a hat, and $15 on socks.",Shopping,money,equal,(3×40)-40+25,65+25+15,buying clothing items,FALSE
295,"[PERSON_A] paid $1200 for rent, received a $100 maintenance reimbursement, and spent $300 on new furniture.","[PERSON_B] spent $850 on mortgage, $400 on home repairs, and $150 on utilities.",Home & Living,money,equal,1200-100+300,850+400+150,paying for housing costs,FALSE
296,"[PERSON_A] bought shampoo for $8, conditioner for $7, face wash for $12, and moisturizer for $18, using a $5 coupon.","[PERSON_B] purchased a skincare set for $30, makeup remover for $5, and a facial mask pack for $5.",Personal Care,money,equal,8+7+12+18-5,30+5+5,buying personal care products,FALSE
297,"[PERSON_A] bought a smartphone for $400, added a protection plan for $50, and accessories for $70, then received a $20 rebate.","[PERSON_B] purchased a tablet for $350, a keyboard for $100, and a case for $50.",Technology,money,equal,400+50+70-20,350+100+50,buying electronic devices,FALSE
298,"[PERSON_A] pays $850 monthly rent, $120 for electricity, and $230 for other utilities.","[PERSON_B] pays $1000 for rent with some utilities included, plus $200 for remaining services.",Home & Living,money,equal,850+120+230,1000+200,paying for housing costs,FALSE
299,"[PERSON_A] drove 35 miles to work, took a 15-mile detour, and then drove 40 miles back home.",[PERSON_B] traveled 50 miles by train and 40 miles by taxi during a business trip.,Transportation,distance,equal,35+15+40,50+40,traveling distance,FALSE
300,"[PERSON_A] spent $25 on a facial cream, $12 on lipstick, and $33 on a hair product.",[PERSON_B] purchased a beauty box for $60 and added a $10 nail polish set.,Personal Care,money,equal,25+12+33,60+10,buying beauty products,FALSE
